"Story","Title","Result","Date","Stability","Duration (s)"
"login on the site","login sucessfully","SUCCESS","2023-10-24T10:09:53.7468602-05:00[America/Bogota]","0.0","192.75"
"Navegar en Reniec","Probar búsqueda de Consulados","SUCCESS","2024-12-20T01:14:35.7942607-05:00[America/Lima]","0.0","18.33"
